"","name","syllable.duration","syllable.start","syllable.end","mean.amplitude","mean.pitch","mean.FM","mean.AM.2","mean.entropy","mean.pitch.goodness","mean.mean.freq","var.pitch","var.FM","var.entropy","var.pitch.goodness","var.mean.freq","var.AM","month","day","hour","minute","second","cluster","file.name","comments"
"37","-","68.8435","7796.28",7865.1235,"39","612","48.9","-0.00126","-2.51","343","2799","1595000","626","0.758868","53700","602000","0.00514","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"38","-","136.689","7880.09",8016.779,"41.2","747","43.2","-0.00118","-1.97","338.1","3000","960000","521","0.37634","54300","213000","0.00191","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"39","-","81.8141","8043.72",8125.5341,"45","1002","25.9","-0.00109","-4.51","186.8","3077","1824000","678","0.905917","8200","246000","0.00308","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"40","-","202.54","8127.53",8330.07,"42.6","1131","45.5","-0.00149","-2.83","192.5","3260","7492000","635","1.82567","16600","282000","0.00103","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"41","-","55.873","8650.34",8706.213,"32.2","551","30.2","-0.00144","-2.63","440.3","2126","454000","591","0.4521","87400","740000","0.00481","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"42","-","96.78","8737.14",8833.92,"41.7","565","43.8","-0.00115","-2.45","362.7","2650","762000","573","0.267841","75200","708000","0.00458","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"43","-","71.8367","8854.88",8926.7167,"39.4","648","53.4","-0.00045","-2.57","364.4","2935","3683000","463","0.950996","65200","957000","0.00535","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"44","-","136.689","8943.67",9080.359,"42.4","760","44.4","-0.00092","-1.98","318.2","3020","1042000","653","0.370081","47500","80000","0.00147","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"45","-","83.8095","9105.31",9189.1195,"45.7","587","26.3","-0.00038","-4.45","252.6","3093","2355000","903","0.808296","39700","207000","0.00268","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"46","-","204.535","9191.11",9395.645,"42.6","1297","46.9","-0.00199","-3.01","192.3","3209","7691000","622","1.6293","19200","274000","0.00107","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"47","-","48.8889","10257.7",10306.5889,"29","525","27.1","-0.00246","-1.8","456","2195","424000","482","0.0915058","82500","750000","0.00416","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"48","-","49.8866","10374.4",10424.2866,"29.4","537","30.6","-0.00227","-1.77","493.5","2213","535000","542","0.133742","110000","775000","0.0053","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"49","-","94.7846","10460.2",10554.9846,"41.5","580","40.8","-0.00071","-1.79","322.3","2454","595000","616","0.314066","54600","752000","0.00494","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"50","-","69.8413","10578",10647.8413,"38","648","49.7","-0.00185","-2.17","392.7","2574","798000","482","0.8465","80500","485000","0.00514","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"51","-","134.694","10666.8",10801.494,"41.4","735","42.8","-0.00099","-1.61","313.9","2889","1031000","652","0.29744","40500","218000","0.0018","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"52","-","82.8118","10828.4",10911.2118,"44.9","1102","25.2","-0.00047","-4.25","232.1","3117","1897000","786","0.792709","14300","185000","0.00679","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"53","-","202.54","10913.2",11115.74,"41.8","1002","44.8","-0.00125","-2.82","202.4","3230","6569000","719","2.08266","23200","277000","0.00099","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"54","-","100.771","12070.6",12171.371,"37.8","648","19.8","-0.00066","-3.05","563.2","2001","589000","579","0.335059","81100","709000","0.0072","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"55","-","60.8617","12259.1",12319.9617,"33.5","537","32.5","-0.00103","-2.73","431","2376","542000","615","0.788204","63600","745000","0.00525","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"56","-","95.7823","12354.9",12450.6823,"42.1","612","47.1","-0.00062","-2.38","346.6","2622","870000","699","0.247728","55100","294000","0.00484","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"57","-","80.8163","12466.7",12547.5163,"40.1","711","48.2","0.00013","-2.54","242","2779","2499000","496","0.741356","30700","962000","0.00512","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"58","-","138.685","12561.5",12700.185,"42.1","760","45.5","-0.00051","-1.83","304","2901","1633000","709","0.291981","42500","79000","0.00137","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"59","-","87.8005","12724.1",12811.9005,"45.2","918","27.1","-0.00044","-4.51","173","3018","2136000","723","1.02449","8000","255000","0.00674","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"60","-","202.54","12811.9",13014.44,"43.5","1160","47.5","-0.00158","-3.03","212.5","3278","7401000","662","1.73536","19700","273000","0.00079","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"61","-","66.8481","13707.8",13774.6481,"33.9","630","31.8","-0.00055","-2.27","465.3","1780","682000","813","0.201621","82600","876000","0.00615","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"62","-","61.8594","13818.6",13880.4594,"33.4","668","39.1","-0.00109","-2.27","385.3","1934","1074000","688","0.157342","114600","583000","0.006","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"63","-","52.8798","14051.1",14103.9798,"31.7","537","33.3","-0.00213","-2.55","316.5","2185","833000","511","0.500627","45000","862000","0.00627","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"64","-","95.7823","14134.9",14230.6823,"42.5","639","42.6","-0.00043","-2.57","306.6","2608","1352000","562","0.300928","54300","702000","0.00478","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"65","-","72.8345","14250.6",14323.4345,"38","678","46","-0.00134","-2.52","365.3","2613","1251000","547","0.80189","89000","666000","0.00513","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"66","-","138.685","14340.4",14479.085,"41.7","760","44.1","-0.00137","-1.97","339.3","3171","956000","612","0.341505","48400","197000","0.00138","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"67","-","82.8118","14506",14588.8118,"45.5","1102","25.3","-0.00048","-4.54","190.5","3126","2770000","698","0.821114","9700","219000","0.00292","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"68","-","202.54","14590.8",14793.34,"43.4","1160","49.5","-0.00185","-2.84","219.8","3337","7122000","622","1.99394","25100","277000","0.00089","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"69","-","90.7936","486.893",577.6866,"34.9","648","21","-0.0003","-2.76","475.8","2124","755000","686","0.540844","94500","766000","0.00755","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
